QUESTION GAP ANALYSIS REPORT
==============================

### SUBJECT: CHEMISTRY
| Topic | Deleted (Easy) | Hard Gap (Need 40) | Med Gap (Need 20) | PYQ Gap (Need 20) | Total Gap |
| partial_fractions | 0 | 22 | 0 | 0 | 22 |
| permutations_combinations | 27 | 22 | 0 | 7 | 29 |
| plane | 0 | 29 | 0 | 0 | 29 |
| probability | 0 | 23 | 0 | 0 | 23 |
| properties_of_triangles | 0 | 11 | 1 | 0 | 12 |
| quadratic_equations_and_expressions | 0 | 24 | 0 | 0 | 24 |
| random_variables_and_probability_distribution | 0 | 31 | 0 | 1 | 32 |
| statistics | 0 | 28 | 0 | 0 | 28 |
| straight_lines | 0 | 30 | 0 | 0 | 30 |
| system_of_circles | 0 | 22 | 1 | 8 | 31 |
| tangents_and_normals | 0 | 22 | 0 | 0 | 22 |
| trigonometry_upto_transformations | 0 | 22 | 0 | 0 | 22 |

### SUBJECT: BOTANY
| Topic | Deleted (Easy) | Hard Gap (Need 40) | Med Gap (Need 20) | PYQ Gap (Need 20) | Total Gap |
| :--- | :---: | :---: | :---: | :---: | :---: |
| anatomy_flowering_plants | 0 | 22 | 1 | 0 | 23 |
| biodiversity_conservation | 0 | 25 | 0 | 9 | 34 |
| biological_classification | 0 | 27 | 0 | 0 | 27 |
| biomolecules | 0 | 28 | 0 | 0 | 28 |
| biotechnology_principles | 0 | 27 | 0 | 7 | 34 |
| biotechnology_principles_applications | 0 | 27 | 0 | 7 | 34 |
| biotech_applications | 0 | 23 | 1 | 0 | 24 |
| biotech_principles | 0 | 25 | 0 | 0 | 25 |
| cell_cycle_and_cell_division | 0 | 30 | 0 | 5 | 35 |
| cell_cycle_division | 0 | 26 | 0 | 0 | 26 |
| cell_division | 0 | 30 | 0 | 7 | 37 |
| cell_structure_functions | 0 | 28 | 0 | 9 | 37 |
| cell_the_unit_of_life | 0 | 27 | 0 | 0 | 27 |
| diversity_in_living_world | 0 | 32 | 0 | 7 | 39 |
| ecosystem | 0 | 34 | 0 | 0 | 34 |
| ecosystem_structure_function | 0 | 29 | 3 | 2 | 34 |
| environmental_issues | 0 | 27 | 0 | 12 | 39 |
| evolution | 0 | 26 | 0 | 12 | 38 |
| food_production_strategies | 0 | 23 | 3 | 0 | 26 |
| inheritance_variation | 0 | 21 | 3 | 0 | 24 |
| microbes_in_human_welfare | 0 | 28 | 0 | 3 | 31 |
| mineral_nutrition | 0 | 25 | 0 | 0 | 25 |
| molecular_basis_of_inheritance | 0 | 24 | 0 | 10 | 34 |
| molecular_inheritance | 0 | 16 | 2 | 0 | 18 |
| morphology_flowering_plants | 0 | 29 | 0 | 0 | 29 |
| morphology_of_flowering_plants | 0 | 30 | 0 | 2 | 32 |
| organisms_populations | 0 | 29 | 0 | 0 | 29 |
| organisms_populations_ecology | 0 | 27 | 1 | 2 | 30 |
| photosynthesis | 0 | 20 | 3 | 0 | 23 |
| photosynthesis_in_higher_plants | 0 | 28 | 0 | 7 | 35 |
| plants_microbes_human_welfare | 0 | 30 | 0 | 0 | 30 |
| plant_growth_development | 0 | 24 | 0 | 0 | 24 |
| plant_kingdom | 0 | 24 | 1 | 0 | 25 |
| principles_of_inheritance_variation | 0 | 27 | 0 | 10 | 37 |
| reproduction_in_plants | 0 | 27 | 0 | 0 | 27 |
| respiration_in_plants | 0 | 17 | 7 | 0 | 24 |
| sexual_reproduction_in_flowering_plants | 0 | 32 | 0 | 6 | 38 |
| strategies_for_enhancement_in_food_production | 0 | 25 | 1 | 7 | 33 |
| transport_in_plants | 0 | 29 | 0 | 9 | 38 |
| transport_plants | 0 | 27 | 0 | 0 | 27 |

### SUBJECT: ZOOLOGY
| Topic | Deleted (Easy) | Hard Gap (Need 40) | Med Gap (Need 20) | PYQ Gap (Need 20) | Total Gap |
| :--- | :---: | :---: | :---: | :---: | :---: |
| animal_husbandry | 0 | 29 | 0 | 0 | 29 |
| animal_kingdom | 0 | 26 | 0 | 0 | 26 |
| animal_kingdom_classification | 0 | 32 | 3 | 5 | 40 |
| applied_biology | 0 | 31 | 3 | 13 | 47 |
| biomolecules | 0 | 24 | 0 | 0 | 24 |
| biomolecules_zoology_angle | 0 | 30 | 5 | 7 | 42 |
| biotechnology_applications | 0 | 28 | 0 | 10 | 38 |
| body_fluids_and_circulation | 0 | 25 | 0 | 0 | 25 |
| body_fluids_circulation | 0 | 30 | 0 | 8 | 38 |
| breathing_and_exchange_of_gases | 0 | 26 | 0 | 11 | 37 |
| breathing_exchange | 0 | 17 | 1 | 0 | 18 |
| breathing_exchange_of_gases | 0 | 30 | 3 | 13 | 46 |
| chemical_coordination_and_integration | 0 | 16 | 2 | 0 | 18 |
| chemical_coordination_integration | 0 | 33 | 4 | 8 | 45 |
| digestion_absorption | 0 | 19 | 0 | 0 | 19 |
| digestion_and_absorption | 0 | 28 | 0 | 7 | 35 |
| ecosystems | 0 | 19 | 0 | 0 | 19 |
| evolution | 0 | 22 | 0 | 0 | 22 |
| excretory_products_and_their_elimination | 0 | 19 | 1 | 0 | 20 |
| excretory_products_elimination | 0 | 34 | 0 | 12 | 46 |
| genetics_evolution | 0 | 22 | 0 | 0 | 22 |
| genetics_heredity | 0 | 27 | 3 | 13 | 43 |
| health_disease | 0 | 21 | 0 | 0 | 21 |
| human_health_and_disease | 0 | 34 | 0 | 9 | 43 |
| human_health_disease | 0 | 38 | 2 | 9 | 49 |
| human_reproduction | 0 | 22 | 0 | 0 | 22 |
| human_reproduction_reproductive_health | 0 | 22 | 0 | 0 | 22 |
| locomotion_and_movement | 0 | 30 | 1 | 8 | 39 |
| locomotion_movement | 0 | 23 | 0 | 0 | 23 |
| microbes_human_welfare | 0 | 22 | 0 | 0 | 22 |
| neural_control_and_coordination | 0 | 19 | 0 | 0 | 19 |
| neural_control_coordination | 0 | 34 | 1 | 10 | 45 |
| organisms_and_populations | 0 | 27 | 0 | 15 | 42 |
| organisms_populations | 0 | 20 | 0 | 0 | 20 |
| principles_of_inheritance_and_variation | 0 | 25 | 0 | 12 | 37 |
| reproductive_health | 0 | 22 | 0 | 0 | 22 |
| structural_organisation_in_animals | 0 | 23 | 0 | 11 | 34 |
| structural_organization_periplaneta_americana | 0 | 26 | 0 | 0 | 26 |

