FINAL GAP ANALYSIS REPORT (TOTAL PURGE)
========================================

### SUBJECT: CHEMISTRY
| Topic Name | Hard Gap | Med Gap | PYQ Gap | Total to Add |
| motion_in_a_straight_line | 33 | 1 | 20 | 54 |
| moving_charges_and_magnetism | 22 | 6 | 20 | 48 |
| nuclear_physics | 17 | 6 | 20 | 43 |
| oscillations | 24 | 0 | 20 | 44 |
| ray_optics | 27 | 0 | 20 | 47 |
| semi_conductors | 26 | 2 | 20 | 48 |
| system_of_particles_and_rotatory_motion | 24 | 4 | 20 | 48 |
| system_particles | 24 | 0 | 20 | 44 |
| thermal_properties_i_and_ii | 29 | 0 | 20 | 49 |
| thermodynamics | 37 | 13 | 20 | 70 |
| units_and_measurements | 22 | 0 | 20 | 42 |
| vectors | 28 | 4 | 20 | 52 |
| wave_motion | 25 | 2 | 20 | 47 |
| wave_optics | 25 | 0 | 20 | 45 |
| work_power_energy | 26 | 2 | 20 | 48 |

### SUBJECT: MATHS
| Topic Name | Hard Gap | Med Gap | PYQ Gap | Total to Add |
| :--- | :---: | :---: | :---: | :---: |
| areas | 14 | 0 | 20 | 34 |
| areas_under_curves | 22 | 0 | 20 | 42 |
| binomial_theorem | 11 | 0 | 20 | 31 |
| circles | 13 | 0 | 20 | 33 |
| complex_numbers | 25 | 0 | 20 | 45 |
| cross_product_vectors | 33 | 0 | 20 | 53 |
| dc_s_and_dr_s | 21 | 0 | 20 | 41 |
| definite_integrals | 24 | 0 | 20 | 44 |
| de_moivre_s_theorem | 16 | 0 | 20 | 36 |
| differential_equations | 18 | 0 | 20 | 38 |
| differentiation | 28 | 0 | 20 | 48 |
| dot_product_vectors | 19 | 0 | 20 | 39 |
| ellipse | 19 | 0 | 20 | 39 |
| functions | 33 | 0 | 20 | 53 |
| hyperbola | 22 | 0 | 20 | 42 |
| hyperbolic_functions | 23 | 3 | 20 | 46 |
| integration | 23 | 0 | 20 | 43 |
| limits_continuity | 31 | 0 | 20 | 51 |
| locus | 17 | 0 | 20 | 37 |
| matrices_and_determinants | 27 | 0 | 20 | 47 |
| multiple_and_sub_multiple_angles | 12 | 0 | 20 | 32 |
| pair_of_straight_lines | 19 | 0 | 20 | 39 |
| parabola | 13 | 1 | 20 | 34 |
| partial_fractions | 22 | 0 | 20 | 42 |
| permutations_combinations | 22 | 0 | 20 | 42 |
| plane | 29 | 0 | 20 | 49 |
| probability | 23 | 0 | 20 | 43 |
| properties_of_triangles | 11 | 1 | 20 | 32 |
| quadratic_equations_and_expressions | 24 | 0 | 20 | 44 |
| random_variables_and_probability_distribution | 31 | 0 | 20 | 51 |
| statistics | 28 | 0 | 20 | 48 |
| straight_lines | 30 | 0 | 20 | 50 |
| system_of_circles | 22 | 1 | 20 | 43 |
| tangents_and_normals | 22 | 0 | 20 | 42 |
| trigonometry_upto_transformations | 22 | 0 | 20 | 42 |

### SUBJECT: BOTANY
| Topic Name | Hard Gap | Med Gap | PYQ Gap | Total to Add |
| :--- | :---: | :---: | :---: | :---: |
| anatomy_flowering_plants | 22 | 1 | 20 | 43 |
| biodiversity_conservation | 25 | 0 | 20 | 45 |
| biological_classification | 27 | 0 | 20 | 47 |
| biomolecules | 28 | 0 | 20 | 48 |
| biotechnology_principles | 27 | 0 | 20 | 47 |
| biotechnology_principles_applications | 27 | 0 | 20 | 47 |
| biotech_applications | 23 | 1 | 20 | 44 |
| biotech_principles | 25 | 0 | 20 | 45 |
| cell_cycle_and_cell_division | 30 | 0 | 20 | 50 |
| cell_cycle_division | 26 | 0 | 20 | 46 |
| cell_division | 30 | 0 | 20 | 50 |
| cell_structure_functions | 28 | 0 | 20 | 48 |
| cell_the_unit_of_life | 27 | 0 | 20 | 47 |
| diversity_in_living_world | 32 | 0 | 20 | 52 |
| ecosystem | 34 | 0 | 20 | 54 |
| ecosystem_structure_function | 29 | 3 | 20 | 52 |
| environmental_issues | 27 | 0 | 20 | 47 |
| evolution | 26 | 0 | 20 | 46 |
| food_production_strategies | 23 | 3 | 20 | 46 |
| inheritance_variation | 21 | 3 | 20 | 44 |
| microbes_in_human_welfare | 28 | 0 | 20 | 48 |
| mineral_nutrition | 25 | 0 | 20 | 45 |
| molecular_basis_of_inheritance | 24 | 0 | 20 | 44 |
| molecular_inheritance | 16 | 2 | 20 | 38 |
| morphology_flowering_plants | 29 | 0 | 20 | 49 |
| morphology_of_flowering_plants | 30 | 0 | 20 | 50 |
| organisms_populations | 29 | 0 | 20 | 49 |
| organisms_populations_ecology | 27 | 1 | 20 | 48 |
| photosynthesis | 20 | 3 | 20 | 43 |
| photosynthesis_in_higher_plants | 28 | 0 | 20 | 48 |
| plants_microbes_human_welfare | 30 | 0 | 20 | 50 |
| plant_growth_development | 24 | 0 | 20 | 44 |
| plant_kingdom | 24 | 1 | 20 | 45 |
| principles_of_inheritance_variation | 27 | 0 | 20 | 47 |
| reproduction_in_plants | 27 | 0 | 20 | 47 |
| respiration_in_plants | 17 | 7 | 20 | 44 |
| sexual_reproduction_in_flowering_plants | 32 | 0 | 20 | 52 |
| strategies_for_enhancement_in_food_production | 25 | 1 | 20 | 46 |
| transport_in_plants | 29 | 0 | 20 | 49 |
| transport_plants | 27 | 0 | 20 | 47 |

### SUBJECT: ZOOLOGY
| Topic Name | Hard Gap | Med Gap | PYQ Gap | Total to Add |
| :--- | :---: | :---: | :---: | :---: |
| animal_husbandry | 29 | 0 | 20 | 49 |
| animal_kingdom | 26 | 0 | 20 | 46 |
| animal_kingdom_classification | 32 | 3 | 20 | 55 |
| applied_biology | 31 | 3 | 20 | 54 |
| biomolecules | 24 | 0 | 20 | 44 |
| biomolecules_zoology_angle | 30 | 5 | 20 | 55 |
| biotechnology_applications | 28 | 0 | 20 | 48 |
| body_fluids_and_circulation | 25 | 0 | 20 | 45 |
| body_fluids_circulation | 30 | 0 | 20 | 50 |
| breathing_and_exchange_of_gases | 26 | 0 | 20 | 46 |
| breathing_exchange | 17 | 1 | 20 | 38 |
| breathing_exchange_of_gases | 30 | 3 | 20 | 53 |
| chemical_coordination_and_integration | 16 | 2 | 20 | 38 |
| chemical_coordination_integration | 33 | 4 | 20 | 57 |
| digestion_absorption | 19 | 0 | 20 | 39 |
| digestion_and_absorption | 28 | 0 | 20 | 48 |
| ecosystems | 19 | 0 | 20 | 39 |
| evolution | 22 | 0 | 20 | 42 |
| excretory_products_and_their_elimination | 19 | 1 | 20 | 40 |
| excretory_products_elimination | 34 | 0 | 20 | 54 |
| genetics_evolution | 22 | 0 | 20 | 42 |
| genetics_heredity | 27 | 3 | 20 | 50 |
| health_disease | 21 | 0 | 20 | 41 |
| human_health_and_disease | 34 | 0 | 20 | 54 |
| human_health_disease | 38 | 2 | 20 | 60 |
| human_reproduction | 22 | 0 | 20 | 42 |
| human_reproduction_reproductive_health | 22 | 0 | 20 | 42 |
| locomotion_and_movement | 30 | 1 | 20 | 51 |
| locomotion_movement | 23 | 0 | 20 | 43 |
| microbes_human_welfare | 22 | 0 | 20 | 42 |
| neural_control_and_coordination | 19 | 0 | 20 | 39 |
| neural_control_coordination | 34 | 1 | 20 | 55 |
| organisms_and_populations | 27 | 0 | 20 | 47 |
| organisms_populations | 20 | 0 | 20 | 40 |
| principles_of_inheritance_and_variation | 25 | 0 | 20 | 45 |
| reproductive_health | 22 | 0 | 20 | 42 |
| structural_organisation_in_animals | 23 | 0 | 20 | 43 |
| structural_organization_periplaneta_americana | 26 | 0 | 20 | 46 |

